Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
005000002010,50,00500000,Canton,2010,"4,487,449,500.00","955,977,000.00","27,606,189.00","28,222,314.91","23,283,410.00",2.38%,"24,271,574.00","3,110.00",84%
005000002011,50,00500000,Canton,2011,"4,487,449,500.00","1,075,018,000.00","27,974,370.00","27,871,900.49","22,994,318.00",3.52%,"24,486,449.00","3,136.00",82%
005000002012,50,00500000,Canton,2012,"4,386,215,300.00","1,022,343,000.00","28,774,990.00","29,027,763.26","23,947,905.00",3.26%,"25,017,347.00","3,203.00",83%
005000002013,50,00500000,Canton,2013,"4,386,215,300.00","942,403,000.00","29,324,657.00","30,318,118.35","25,012,448.00",3.40%,"25,739,614.00","3,219.00",85%
005000002014,50,00500000,Canton,2014,"4,131,231,300.00","1,050,979,000.00","30,924,197.00","31,102,872.50","25,659,870.00",3.45%,"26,482,467.00","3,237.00",83%
005000002015,50,00500000,Canton,2015,"4,131,231,300.00","1,057,577,000.00","30,956,990.00","31,265,073.00","25,793,685.00",4.33%,"26,711,422.00","3,226.00",83%
005000002016,50,00500000,Canton,2016,"4,083,657,900.00","1,154,974,000.00","32,793,642.00","32,791,139.39","27,052,690.00",4.55%,"27,489,741.00","3,291.00",82%
005000002017,50,00500000,Canton,2017,"4,083,657,900.00","1,148,644,000.00","32,370,114.00","32,859,944.29","27,109,454.00",4.38%,"27,347,105.00","3,290.00",84%
005000002018,50,00500000,Canton,2018,"4,615,563,300.00","1,251,113,000.00","34,209,092.00","34,952,750.61","28,836,019.00",5.03%,"28,722,664.00","3,409.00",84%
005000002019,50,00500000,Canton,2019,"4,615,563,300.00","1,340,372,000.00","36,141,878.00","36,047,999.00","29,739,599.00",4.81%,"29,739,599.00","3,388.00",82%
005000002020,50,00500000,Canton,2020,"5,111,198,800.00","1,313,754,000.00","37,344,790.00","37,440,626.04","30,888,516.00",4.35%,"30,888,516.00","3,373.00",83%
005000002021,50,00500000,Canton,2021,"5,111,198,800.00","1,468,020,000.00","39,571,276.00","38,636,895.20","31,875,439.00",4.84%,"31,875,439.00","3,402.00",81%
005000002022,50,00500000,Canton,2022,"5,664,784,600.00","1,475,836,000.00","39,795,174.00","38,850,899.64","32,051,992.00",3.43%,"32,051,992.00","3,310.00",81%
005000002023,50,00500000,Canton,2023,"5,664,784,600.00","1,466,824,000.00","42,884,734.00","42,696,651.64","35,224,738.00",6.55%,"34,471,917.00","3,372.00",82%
005000002024,50,00500000,Canton,2024,"6,376,735,000.00","1,577,502,000.00","46,720,226.00","45,332,860.25","37,399,610.00",4.22%,"36,271,351.00","3,351.00",80%
005000002025,50,00500000,Canton,2025,"6,376,735,000.00","1,924,272,000.00","52,445,017.00","46,822,040.94","38,628,184.00",4.96%,"38,070,410.00","3,373.00",74%
005000002026,50,00500000,Canton,2026,"8,267,137,500.00","1,899,193,000.00","56,625,393.00","49,651,785.83","40,962,723.00",4.90%,"39,935,860.00","3,402.00",72%
005100002007,51,00510000,Carlisle,2007,"1,348,826,100.00","328,865,000.00","9,925,515.00","8,621,996.39","7,113,147.00",4.84%,"8,682,931.00","1,131.00",72%
005100002008,51,00510000,Carlisle,2008,"1,530,775,600.00","394,088,000.00","10,722,686.00","8,861,099.00","7,310,407.00",4.93%,"8,660,851.00","1,113.00",68%
005100002009,51,00510000,Carlisle,2009,"1,530,775,600.00","546,822,000.00","13,264,259.00","9,235,617.76","7,619,385.00",4.22%,"8,562,044.00","1,099.00",57%
005100002010,51,00510000,Carlisle,2010,"1,566,634,600.00","528,997,000.00","12,562,086.00","9,260,705.74","7,640,082.00",3.42%,"8,672,648.00","1,057.00",61%
005100002011,51,00510000,Carlisle,2011,"1,566,634,600.00","563,035,000.00","12,334,728.00","9,104,152.54","7,510,926.00",3.35%,"8,527,505.00","1,057.00",61%
005100002012,51,00510000,Carlisle,2012,"1,461,502,400.00","452,912,000.00","11,231,581.00","8,932,867.72","7,369,616.00",3.57%,"8,539,473.00","1,027.00",66%
005100002013,51,00510000,Carlisle,2013,"1,461,502,400.00","397,372,000.00","11,115,167.00","8,913,549.43","7,353,678.00",3.77%,"8,635,251.00",989,66%
005100002014,51,00510000,Carlisle,2014,"1,326,061,700.00","475,902,000.00","12,065,587.00","8,840,697.22","7,293,575.00",3.83%,"8,715,120.00",963,60%
005100002015,51,00510000,Carlisle,2015,"1,326,061,700.00","470,163,000.00","11,911,991.00","8,809,989.00","7,268,241.00",3.80%,"7,928,990.00",947,61%
005100002016,51,00510000,Carlisle,2016,"1,241,047,500.00","537,906,000.00","12,756,643.00","8,999,985.62","7,424,988.00",4.06%,"7,837,948.00",954,58%
005100002017,51,00510000,Carlisle,2017,"1,241,047,500.00","539,037,000.00","12,629,981.00","8,885,761.49","7,330,753.00",4.23%,"7,456,564.00",934,58%
005100002018,51,00510000,Carlisle,2018,"1,517,185,600.00","617,649,000.00","14,185,589.00","8,905,693.90","7,347,197.00",4.33%,"7,412,032.00",912,52%
005100002019,51,00510000,Carlisle,2019,"1,517,185,600.00","585,530,000.00","13,953,630.00","9,057,497.00","7,472,435.00",3.42%,"7,472,435.00",895,54%
005100002020,51,00510000,Carlisle,2020,"1,544,199,600.00","572,602,000.00","13,914,633.00","9,406,433.92","7,760,308.00",3.57%,"7,739,201.00",895,56%
005100002021,51,00510000,Carlisle,2021,"1,544,199,600.00","649,881,000.00","14,912,981.00","9,560,821.10","7,887,677.00",3.95%,"7,887,677.00",888,53%
005100002022,51,00510000,Carlisle,2022,"1,657,167,300.00","815,711,000.00","17,093,543.00","9,536,650.90","7,867,737.00",3.45%,"7,867,737.00",864,46%
005100002023,51,00510000,Carlisle,2023,"1,657,167,300.00","696,005,000.00","16,613,454.00","10,408,147.05","8,586,721.00",3.39%,"8,213,130.00",887,52%
005100002024,51,00510000,Carlisle,2024,"1,841,728,700.00","1,187,097,000.00","24,708,097.00","10,979,567.35","9,058,143.00",3.75%,"9,058,143.00",885.21,37%
005100002025,51,00510000,Carlisle,2025,"1,841,728,700.00","1,066,804,000.00","22,461,063.00","11,040,307.66","9,108,254.00",3.56%,"9,108,254.00",870,41%
005100002026,51,00510000,Carlisle,2026,"2,503,552,100.00","812,467,000.00","20,873,918.00","11,422,234.40","9,423,343.00",3.89%,"9,423,343.00",865,45%
005200002007,52,00520000,Carver,2007,"956,458,200.00","239,313,000.00","7,137,911.00","16,633,197.04","7,137,911.00",6.79%,"6,346,963.00","2,084.00",100%
005200002008,52,00520000,Carver,2008,"1,265,850,400.00","252,628,000.00","7,711,067.00","17,292,881.00","7,711,067.00",4.95%,"6,724,608.00","2,068.00",100%
005200002009,52,00520000,Carver,2009,"1,265,850,400.00","264,383,000.00","8,046,330.00","17,885,009.38","8,046,330.00",5.28%,"7,146,913.00","2,033.00",100%
005200002010,52,00520000,Carver,2010,"1,373,004,900.00","275,635,000.00","8,194,008.00","18,552,993.40","8,194,008.00",1.84%,"8,194,008.00","2,046.00",100%
005200002011,52,00520000,Carver,2011,"1,373,004,900.00","296,313,000.00","8,113,096.00","17,885,614.02","8,113,096.00",4.04%,"8,401,461.00","1,984.00",100%
005200002012,52,00520000,Carver,2012,"1,279,085,200.00","300,587,000.00","8,427,180.00","17,409,169.77","8,427,180.00",2.91%,"8,602,191.00","1,908.00",100%
005200002013,52,00520000,Carver,2013,"1,279,085,200.00","287,571,000.00","8,757,121.00","17,866,601.90","8,757,121.00",2.61%,"8,816,270.00","1,877.00",100%
005200002014,52,00520000,Carver,2014,"1,210,942,100.00","306,088,000.00","9,033,990.00","18,016,710.68","9,033,990.00",3.52%,"9,112,711.00","1,851.00",100%
005200002015,52,00520000,Carver,2015,"1,210,942,100.00","302,198,000.00","8,956,228.00","17,864,410.00","8,956,228.00",3.00%,"9,171,160.00","1,807.00",100%
005200002016,52,00520000,Carver,2016,"1,134,092,700.00","313,985,000.00","9,006,229.00","17,651,142.46","9,006,229.00",5.41%,"9,336,775.00","1,752.00",100%
005200002017,52,00520000,Carver,2017,"1,134,092,700.00","318,440,000.00","8,981,496.00","17,809,343.85","8,981,496.00",4.57%,"9,098,792.00","1,744.00",100%
005200002018,52,00520000,Carver,2018,"1,242,705,100.00","330,452,000.00","9,119,341.00","18,211,609.76","9,119,341.00",4.24%,"9,174,127.00","1,743.00",100%
005200002019,52,00520000,Carver,2019,"1,242,705,100.00","342,777,000.00","9,471,877.00","18,476,603.00","9,471,877.00",3.94%,"9,471,877.00","1,696.00",100%
005200002020,52,00520000,Carver,2020,"1,394,846,000.00","348,353,000.00","10,039,030.00","18,931,405.35","10,039,030.00",4.01%,"9,851,699.00","1,673.00",100%
005200002021,52,00520000,Carver,2021,"1,394,846,000.00","369,318,000.00","10,350,327.00","19,623,560.48","10,350,327.00",4.00%,"10,245,767.00","1,684.00",100%
005200002022,52,00520000,Carver,2022,"1,542,843,600.00","383,236,000.00","10,572,718.00","19,291,592.83","10,572,718.00",2.65%,"10,517,280.00","1,597.00",100%
005200002023,52,00520000,Carver,2023,"1,542,843,600.00","414,530,000.00","11,909,041.00","21,271,913.74","11,909,041.00",4.04%,"11,047,351.00","1,596.00",100%
005200002024,52,00520000,Carver,2024,"1,736,816,700.00","427,548,000.00","12,692,693.00","23,032,111.03","12,692,693.00",4.99%,"11,709,088.00","1,625.00",100%
005200002025,52,00520000,Carver,2025,"1,736,816,700.00","443,993,000.00","13,137,709.00","22,497,080.09","13,137,709.00",3.64%,"12,252,390.00","1,579.00",100%
005200002026,52,00520000,Carver,2026,"2,209,528,700.00","463,790,000.00","14,446,427.00","23,251,516.64","14,446,427.00",4.24%,"12,894,415.00","1,559.00",100%
005300002007,53,00530000,Charlemont,2007,"95,080,700.00","24,492,000.00","721,022.00","1,868,882.19","721,022.00",8.44%,"825,395.00",226,100%
005300002008,53,00530000,Charlemont,2008,"116,542,000.00","23,586,000.00","715,096.00","1,967,734.00","715,096.00",3.01%,"816,453.00",225,100%
005300002009,53,00530000,Charlemont,2009,"116,542,000.00","23,955,000.00","734,793.00","1,910,988.43","734,793.00",4.69%,"815,162.00",204,100%
005300002010,53,00530000,Charlemont,2010,"138,792,200.00","25,770,000.00","796,956.00","1,918,972.48","796,956.00",0.67%,"817,075.00",199,100%
005300002011,53,00530000,Charlemont,2011,"138,792,200.00","29,657,000.00","816,071.00","1,656,732.47","816,071.00",2.14%,"829,013.00",179,100%
005300002012,53,00530000,Charlemont,2012,"142,452,100.00","26,013,000.00","829,265.00","1,661,475.35","829,265.00",2.90%,"848,296.00",177,100%
005300002013,53,00530000,Charlemont,2013,"142,452,100.00","23,498,000.00","837,765.00","1,637,136.05","837,765.00",3.03%,"868,563.00",167,100%
005300002014,53,00530000,Charlemont,2014,"139,522,900.00","23,303,000.00","856,148.00","1,613,461.12","856,148.00",3.01%,"888,923.00",164,100%
005300002015,53,00530000,Charlemont,2015,"139,522,900.00","25,532,000.00","891,568.00","1,641,887.00","891,568.00",4.36%,"909,624.00",166,100%
005300002016,53,00530000,Charlemont,2016,"130,454,200.00","26,129,000.00","886,853.00","1,597,153.80","886,853.00",4.47%,"918,569.00",158,100%
005300002017,53,00530000,Charlemont,2017,"130,454,200.00","26,227,000.00","880,206.00","1,691,445.28","880,206.00",5.09%,"892,974.00",157,100%
005300002018,53,00530000,Charlemont,2018,"137,142,200.00","27,466,000.00","878,131.00","1,747,903.18","878,131.00",4.07%,"885,809.00",154,100%
005300002019,53,00530000,Charlemont,2019,"137,142,200.00","31,462,000.00","954,224.00","1,922,658.00","954,224.00",4.88%,"929,036.00",159,100%
005300002020,53,00530000,Charlemont,2020,"142,686,500.00","26,057,000.00","883,461.00","1,889,216.45","883,461.00",5.18%,"883,461.00",150,100%
005300002021,53,00530000,Charlemont,2021,"142,686,500.00","26,593,000.00","898,461.00","1,745,375.44","898,461.00",3.90%,"898,461.00",140,100%
005300002022,53,00530000,Charlemont,2022,"147,289,000.00","27,710,000.00","883,307.00","1,690,885.01","883,307.00",3.27%,"883,307.00",128,100%
005300002023,53,00530000,Charlemont,2023,"147,289,000.00","28,506,000.00","968,221.00","1,917,644.37","968,221.00",4.35%,"921,731.00",133,100%
005300002024,53,00530000,Charlemont,2024,"155,406,800.00","31,481,000.00","1,031,847.00","1,907,915.70","1,031,847.00",4.14%,"969,108.00",129.28,100%
005300002025,53,00530000,Charlemont,2025,"155,406,800.00","34,318,000.00","1,098,114.00","1,839,295.64","1,098,114.00",5.57%,"1,032,778.00",122,100%
005300002026,53,00530000,Charlemont,2026,"193,884,300.00","44,571,000.00","1,328,478.00","1,999,940.37","1,328,478.00",5.55%,"1,110,753.00",126,100%
005400002007,54,00540000,Charlton,2007,"1,165,195,100.00","300,298,000.00","8,838,485.00","19,803,693.00","8,838,485.00",9.23%,"7,238,990.00","2,553.00",100%
005400002008,54,00540000,Charlton,2008,"1,460,055,600.00","321,414,000.00","9,367,890.00","20,650,189.00","9,367,890.00",6.99%,"7,817,386.00","2,539.00",100%
005400002009,54,00540000,Charlton,2009,"1,460,055,600.00","338,999,000.00","9,810,702.00","21,975,337.00","9,810,702.00",5.23%,"8,304,409.00","2,569.00",100%
005400002010,54,00540000,Charlton,2010,"1,758,752,000.00","374,256,000.00","10,813,360.00","22,408,494.29","10,813,360.00",1.82%,"8,621,637.00","2,525.00",100%
005400002011,54,00540000,Charlton,2011,"1,758,752,000.00","393,192,000.00","10,578,954.00","21,774,355.87","10,578,954.00",1.72%,"8,856,145.00","2,482.00",100%
005400002012,54,00540000,Charlton,2012,"1,540,772,100.00","401,412,000.00","10,727,094.00","21,720,959.21","10,727,094.00",2.94%,"9,205,076.00","2,415.00",100%
005400002013,54,00540000,Charlton,2013,"1,540,772,100.00","387,874,000.00","11,217,376.00","22,219,106.63","11,217,376.00",3.30%,"9,600,893.00","2,354.00",100%
005400002014,54,00540000,Charlton,2014,"1,454,793,100.00","403,436,000.00","11,404,587.00","22,138,641.04","11,404,587.00",3.49%,"10,031,973.00","2,287.00",100%
005400002015,54,00540000,Charlton,2015,"1,454,793,100.00","413,164,000.00","11,517,124.00","22,807,025.00","11,517,124.00",3.32%,"10,465,355.00","2,304.00",100%
005400002016,54,00540000,Charlton,2016,"1,413,260,000.00","430,889,000.00","11,814,629.00","23,021,295.92","11,814,629.00",3.00%,"10,883,970.00","2,265.00",100%
005400002017,54,00540000,Charlton,2017,"1,413,260,000.00","427,100,000.00","11,637,410.00","22,689,493.84","11,637,410.00",5.46%,"11,478,235.00","2,228.00",100%
005400002018,54,00540000,Charlton,2018,"1,487,604,400.00","448,024,000.00","11,663,788.00","22,565,481.00","11,663,788.00",3.18%,"11,690,706.00","2,172.00",100%
005400002019,54,00540000,Charlton,2019,"1,487,604,400.00","466,890,000.00","12,147,658.00","23,618,813.00","12,147,658.00",4.12%,"12,147,658.00","2,180.00",100%
005400002020,54,00540000,Charlton,2020,"1,610,444,700.00","488,509,000.00","12,883,774.00","24,224,341.98","12,883,774.00",4.07%,"12,642,068.00","2,130.00",100%
005400002021,54,00540000,Charlton,2021,"1,610,444,700.00","505,236,000.00","13,080,033.00","24,269,057.00","13,080,033.00",5.36%,"13,080,033.00","2,077.00",100%
005400002022,54,00540000,Charlton,2022,"1,794,497,600.00","534,595,000.00","13,558,786.00","24,146,568.98","13,558,786.00",3.71%,"13,558,786.00","1,987.00",100%
005400002023,54,00540000,Charlton,2023,"1,794,497,600.00","544,329,000.00","14,799,327.00","26,131,112.14","14,799,327.00",1.68%,"13,922,162.00","1,955.00",100%
005400002024,54,00540000,Charlton,2024,"2,225,215,400.00","577,568,000.00","16,718,662.00","28,289,494.55","16,718,662.00",6.74%,"14,999,738.00","1,968.39",100%
005400002025,54,00540000,Charlton,2025,"2,225,215,400.00","625,937,000.00","17,649,167.00","28,934,620.75","17,649,167.00",7.17%,"16,225,216.00","1,961.00",100%
005400002026,54,00540000,Charlton,2026,"3,079,993,300.00","628,704,000.00","19,858,277.00","29,866,623.35","19,858,277.00",8.65%,"17,790,949.00","1,941.00",100%
005500002007,55,00550000,Chatham,2007,"4,834,829,300.00","225,037,000.00","20,025,434.00","4,410,474.45","3,638,641.00",4.15%,"6,615,711.68",568,18%
005500002008,55,00550000,Chatham,2008,"6,134,869,700.00","267,746,000.00","22,277,447.00","4,701,046.00","3,878,363.00",4.63%,"6,161,105.00",571,17%
005500002009,55,00550000,Chatham,2009,"6,134,869,700.00","297,991,000.00","23,694,855.00","5,169,104.89","4,264,512.00",3.78%,"5,691,266.00",598,18%
005500002010,55,00550000,Chatham,2010,"6,861,707,900.00","268,085,000.00","24,333,944.00","5,057,017.74","4,172,040.00",3.41%,"5,628,343.00",566,17%
005500002011,55,00550000,Chatham,2011,"6,861,707,900.00","353,403,000.00","25,120,543.00","4,965,226.65","4,096,312.00",4.50%,"5,346,026.00",564,16%
005500002012,55,00550000,Chatham,2012,"6,915,743,700.00","258,184,000.00","25,549,347.00","4,958,648.72","4,090,885.00",3.03%,"5,224,586.00",545,16%
005500002013,55,00550000,Chatham,2013,"6,915,743,700.00","226,971,000.00","25,937,552.00","4,965,850.00","4,096,826.00",3.86%,"4,965,850.00",525,16%
005500002014,55,00550000,Chatham,2014,"6,302,927,200.00","233,842,000.00","26,032,308.00","4,951,091.00","4,084,650.00",3.27%,"4,951,091.00",511,16%
005500002015,55,00550000,Chatham,2015,"6,302,927,200.00","257,885,000.00","26,742,145.00","4,865,334.00","4,013,901.00",3.11%,"4,378,801.00",501,15%
005500002016,55,00550000,Chatham,2016,"6,196,588,000.00","291,647,000.00","27,949,796.00","5,180,773.00","4,274,138.00",3.41%,"4,401,128.00",516,15%
005500002017,55,00550000,Chatham,2017,"6,196,588,000.00","270,083,000.00","27,466,309.00","5,356,337.00","4,418,978.00",3.53%,"4,439,605.00",522,16%
005500002018,55,00550000,Chatham,2018,"6,588,014,300.00","325,472,000.00","28,022,041.00","5,264,435.15","4,343,159.00",4.63%,"4,388,459.00",504,15%
005500002019,55,00550000,Chatham,2019,"6,588,014,300.00","348,026,000.00","29,196,407.00","5,345,568.00","4,410,094.00",4.07%,"4,410,094.00",495,15%
005500002020,55,00550000,Chatham,2020,"7,374,670,100.00","329,994,000.00","30,429,358.00","5,227,261.49","4,312,491.00",4.36%,"4,312,491.00",459,14%
005500002021,55,00550000,Chatham,2021,"7,374,670,100.00","359,411,000.00","31,888,483.00","5,263,066.22","4,342,030.00",4.20%,"4,342,030.00",443,14%
005500002022,55,00550000,Chatham,2022,"7,904,158,600.00","475,325,000.00","33,036,963.00","4,965,248.93","4,096,330.00",-0.08%,"4,096,330.00",406,12%
005500002023,55,00550000,Chatham,2023,"7,904,158,600.00","462,832,000.00","35,697,319.00","5,447,511.08","4,494,197.00",6.96%,"4,494,197.00",404,13%
005500002024,55,00550000,Chatham,2024,"8,768,778,800.00","473,368,000.00","38,246,297.00","5,818,388.22","4,800,170.00",7.31%,"4,800,170.00",399.24,13%
005500002025,55,00550000,Chatham,2025,"8,768,778,800.00","641,046,000.00","43,422,000.00","5,863,011.48","4,836,984.00",7.37%,"4,836,984.00",385,11%
005500002026,55,00550000,Chatham,2026,"12,659,022,000.00","587,301,000.00","50,271,811.00","6,232,165.96","5,141,537.00",4.42%,"5,141,537.00",390,10%
005600002007,56,00560000,Chelmsford,2007,"4,580,884,200.00","1,134,381,000.00","33,994,227.00","44,013,985.36","33,994,227.00",6.03%,"38,352,800.00","5,743.00",100%
005600002008,56,00560000,Chelmsford,2008,"5,364,392,300.00","1,189,111,000.00","34,548,015.00","45,385,058.00","34,548,015.00",4.25%,"38,624,099.00","5,661.00",100%
005600002009,56,00560000,Chelmsford,2009,"5,364,392,300.00","1,229,682,000.00","35,799,116.00","47,812,395.47","35,799,116.00",2.99%,"38,465,611.00","5,660.00",100%
005600002010,56,00560000,Chelmsford,2010,"5,703,382,400.00","1,326,282,000.00","36,752,990.00","49,685,654.76","36,752,990.00",1.88%,"38,823,398.00","5,655.00",100%
005600002011,56,00560000,Chelmsford,2011,"5,703,382,400.00","1,389,265,000.00","35,868,478.00","47,502,180.50","35,868,478.00",3.96%,"39,013,107.00","5,569.00",100%
005600002012,56,00560000,Chelmsford,2012,"5,199,953,600.00","1,379,287,000.00","36,562,481.00","47,761,096.65","36,562,481.00",4.11%,"39,805,733.00","5,455.00",100%
005600002013,56,00560000,Chelmsford,2013,"5,199,953,600.00","1,331,330,000.00","38,216,996.00","49,395,091.20","38,216,996.00",3.35%,"40,700,890.00","5,370.00",100%
005600002014,56,00560000,Chelmsford,2014,"4,987,917,400.00","1,404,703,000.00","39,433,524.00","49,213,044.41","39,433,524.00",3.23%,"41,628,228.00","5,301.00",100%
005600002015,56,00560000,Chelmsford,2015,"4,987,917,400.00","1,436,702,000.00","39,791,862.00","50,008,779.00","39,791,862.00",4.85%,"41,719,530.00","5,295.00",100%
005600002016,56,00560000,Chelmsford,2016,"4,733,578,400.00","1,493,965,000.00","40,329,571.00","50,099,037.63","40,329,571.00",3.81%,"41,819,308.00","5,241.00",100%
005600002017,56,00560000,Chelmsford,2017,"4,733,578,400.00","1,503,838,000.00","40,056,064.00","49,675,034.15","40,056,064.00",3.93%,"40,567,075.00","5,154.00",100%
005600002018,56,00560000,Chelmsford,2018,"5,436,078,900.00","1,455,092,000.00","40,027,859.00","50,451,769.65","40,027,859.00",4.93%,"40,408,735.00","5,123.00",100%
005600002019,56,00560000,Chelmsford,2019,"5,436,078,900.00","1,822,894,000.00","46,060,934.00","54,095,018.00","44,628,390.00",4.85%,"42,772,646.00","5,292.00",97%
005600002020,56,00560000,Chelmsford,2020,"5,849,923,100.00","1,870,365,000.00","48,236,263.00","56,116,756.54","46,296,324.00",4.18%,"44,988,269.00","5,262.00",96%
005600002021,56,00560000,Chelmsford,2021,"5,849,923,100.00","1,989,752,000.00","49,727,273.00","57,689,266.50","47,593,645.00",3.77%,"46,684,327.00","5,312.00",96%
005600002022,56,00560000,Chelmsford,2022,"6,551,073,600.00","2,003,049,000.00","50,228,591.00","58,129,083.46","47,956,494.00",2.93%,"47,956,494.00","5,168.00",95%
005600002023,56,00560000,Chelmsford,2023,"6,551,073,600.00","2,065,597,000.00","55,222,715.00","63,260,840.16","52,190,193.00",4.32%,"50,507,780.00","5,254.00",95%
005600002024,56,00560000,Chelmsford,2024,"7,194,279,300.00","2,220,847,000.00","59,472,569.00","68,125,870.35","56,203,843.00",3.99%,"53,028,118.00","5,320.00",95%
005600002025,56,00560000,Chelmsford,2025,"7,194,279,300.00","2,403,772,000.00","62,500,581.00","71,380,151.43","58,888,625.00",4.58%,"55,987,087.00","5,399.00",94%
005600002026,56,00560000,Chelmsford,2026,"9,269,831,700.00","2,441,387,000.00","68,389,108.00","73,035,227.41","60,254,063.00",3.85%,"58,702,461.00","5,342.00",88%
005700002007,57,00570000,Chelsea,2007,"2,206,598,800.00","434,214,000.00","14,545,145.00","56,155,837.62","14,545,145.00",4.84%,"9,738,835.00","5,686.00",100%
005700002008,57,00570000,Chelsea,2008,"2,642,115,600.00","447,362,000.00","14,833,562.00","61,081,697.00","14,833,562.00",4.45%,"10,269,601.00","5,736.00",100%
005700002009,57,00570000,Chelsea,2009,"2,642,115,600.00","473,106,000.00","15,569,556.00","64,056,286.99","15,569,556.00",3.97%,"10,780,000.00","5,716.00",100%
005700002010,57,00570000,Chelsea,2010,"2,856,347,100.00","477,662,000.00","15,612,287.00","65,239,956.31","15,612,287.00",-1.47%,"10,729,333.00","5,811.00",100%
005700002011,57,00570000,Chelsea,2011,"2,856,347,100.00","511,083,000.00","15,436,741.00","66,539,627.38","15,436,741.00",5.57%,"11,434,249.00","5,902.00",100%
005700002012,57,00570000,Chelsea,2012,"2,344,168,400.00","516,537,000.00","14,941,558.00","67,087,624.56","14,941,558.00",3.82%,"11,871,037.00","5,985.00",100%
005700002013,57,00570000,Chelsea,2013,"2,344,168,400.00","499,635,000.00","15,607,404.00","70,708,954.03","15,607,404.00",1.71%,"12,074,032.00","6,140.00",100%
005700002014,57,00570000,Chelsea,2014,"2,237,742,500.00","526,548,000.00","16,090,754.00","76,726,983.95","16,090,754.00",3.77%,"12,529,222.00","6,379.00",100%
005700002015,57,00570000,Chelsea,2015,"2,237,742,500.00","546,198,000.00","16,365,476.00","80,639,503.00","16,365,476.00",6.29%,"13,442,602.00","6,756.00",100%
005700002016,57,00570000,Chelsea,2016,"2,234,376,700.00","555,072,000.00","16,795,351.00","87,760,498.85","16,795,351.00",7.14%,"14,536,830.00","7,132.00",100%
005700002017,57,00570000,Chelsea,2017,"2,234,376,700.00","588,057,000.00","17,117,064.00","87,277,896.23","17,117,064.00",5.76%,"15,374,151.00","7,256.00",100%
005700002018,57,00570000,Chelsea,2018,"2,791,398,900.00","633,679,000.00","18,936,917.00","91,286,671.70","18,936,917.00",8.96%,"16,751,675.00","7,362.00",100%
005700002019,57,00570000,Chelsea,2019,"2,791,398,900.00","668,765,000.00","19,828,395.00","98,929,731.00","19,828,395.00",7.89%,"18,073,382.00","7,450.00",100%
005700002020,57,00570000,Chelsea,2020,"3,534,210,300.00","707,032,000.00","22,805,695.00","105,126,558.31","22,805,695.00",6.96%,"19,512,023.00","7,388.00",100%
005700002021,57,00570000,Chelsea,2021,"3,534,210,300.00","763,876,000.00","23,761,694.00","110,473,216.87","23,761,694.00",5.64%,"20,807,621.00","7,545.00",100%
005700002022,57,00570000,Chelsea,2022,"4,225,152,600.00","821,843,000.00","25,721,311.00","118,862,448.95","25,721,311.00",-5.79%,"19,810,936.00","7,335.00",100%
005700002023,57,00570000,Chelsea,2023,"4,225,152,600.00","863,146,000.00","28,466,793.00","130,259,004.82","28,466,793.00",6.67%,"21,330,434.00","7,330.00",100%
005700002024,57,00570000,Chelsea,2024,"5,133,648,900.00","903,878,000.00","31,999,800.00","144,199,375.34","31,999,800.00",6.50%,"22,930,216.00","7,342.00",100%
005700002025,57,00570000,Chelsea,2025,"5,133,648,900.00","954,502,000.00","33,710,758.00","152,909,880.14","33,710,758.00",6.69%,"24,693,549.00","7,347.00",100%
005700002026,57,00570000,Chelsea,2026,"6,348,238,400.00","1,018,208,000.00","36,571,738.00","162,079,964.66","36,571,738.00",4.60%,"26,076,387.00","7,282.00",100%
005800002007,58,00580000,Cheshire,2007,"189,485,800.00","62,635,000.00","1,662,354.00","4,326,947.96","1,662,354.00",8.68%,"1,670,480.00",518,100%
005800002008,58,00580000,Cheshire,2008,"256,759,200.00","63,815,000.00","1,762,463.00","4,492,201.00","1,762,463.00",3.64%,"1,731,285.00",509,100%
005800002009,58,00580000,Cheshire,2009,"256,759,200.00","70,404,000.00","1,893,154.00","4,501,213.78","1,893,154.00",4.62%,"1,811,270.00",483,100%
005800002010,58,00580000,Cheshire,2010,"314,472,800.00","78,751,000.00","2,110,695.00","4,656,710.32","2,110,695.00",-0.64%,"1,842,988.00",481,100%
005800002011,58,00580000,Cheshire,2011,"314,472,800.00","79,484,000.00","2,017,155.00","4,509,757.43","2,017,155.00",1.22%,"1,865,472.00",470,100%
005800002012,58,00580000,Cheshire,2012,"331,833,300.00","81,352,000.00","2,235,615.00","4,622,485.36","2,235,615.00",0.15%,"1,886,925.00",467,100%
005800002013,58,00580000,Cheshire,2013,"331,833,300.00","76,438,000.00","2,301,423.00","4,588,509.44","2,301,423.00",2.99%,"1,962,213.00",445,100%
005800002014,58,00580000,Cheshire,2014,"310,624,600.00","78,623,000.00","2,319,003.00","4,586,515.06","2,319,003.00",2.73%,"2,035,403.00",433,100%
005800002015,58,00580000,Cheshire,2015,"310,624,600.00","80,928,000.00","2,348,938.00","4,634,250.00","2,348,938.00",2.63%,"2,109,288.00",432,100%
