Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
000100002017,1,00010000,Abington,2017,"1,759,005,600.00","516,549,000.00","14,263,357.00","21,821,619.11","14,263,357.00",2.98%,"14,386,381.00","2,104.00",100%
000100002018,1,00010000,Abington,2018,"1,892,537,300.00","537,854,000.00","14,381,022.00","22,041,488.00","14,381,022.00",3.60%,"14,459,512.00","2,074.00",100%
000100002019,1,00010000,Abington,2019,"1,892,537,300.00","557,268,000.00","14,929,120.00","23,444,579.00","14,929,120.00",4.45%,"14,929,120.00","2,139.00",100%
000100002020,1,00010000,Abington,2020,"2,103,633,000.00","574,456,000.00","15,875,724.00","25,051,373.09","15,875,724.00",3.77%,"15,491,948.00","2,200.00",100%
000100002021,1,00010000,Abington,2021,"2,103,633,000.00","597,856,000.00","16,195,587.00","26,838,073.19","16,195,587.00",5.68%,"16,195,587.00","2,281.00",100%
000100002022,1,00010000,Abington,2022,"2,379,458,500.00","640,153,000.00","17,003,062.00","28,150,953.47","17,003,062.00",3.33%,"16,734,900.00","2,281.00",100%
000100002023,1,00010000,Abington,2023,"2,379,458,500.00","645,765,000.00","18,465,149.00","31,456,331.29","18,465,149.00",4.54%,"17,662,013.00","2,335.00",100%
000100002024,1,00010000,Abington,2024,"2,693,823,800.00","689,105,000.00","20,084,710.00","33,431,760.03","20,084,710.00",2.48%,"18,276,651.00","2,309.00",100%
000100002025,1,00010000,Abington,2025,"2,693,823,800.00","725,757,000.00","20,907,982.00","34,615,457.74","20,907,982.00",3.31%,"19,064,375.00","2,316.00",100%
000100002026,1,00010000,Abington,2026,"3,278,516,900.00","762,508,000.00","22,602,702.00","35,757,910.36","22,602,702.00",3.26%,"20,067,162.00","2,305.00",100%
000200002007,2,00020000,Acton,2007,"3,398,232,500.00","850,231,000.00","25,359,999.00","35,527,796.60","25,359,999.00",5.12%,"28,741,778.00","4,656.00",100%
000200002008,2,00020000,Acton,2008,"3,909,226,500.00","921,360,000.00","26,041,239.00","37,746,481.00","26,041,239.00",4.11%,"28,952,609.00","4,715.00",100%
000200002009,2,00020000,Acton,2009,"3,909,226,500.00","987,641,000.00","27,512,336.00","40,206,774.27","27,512,336.00",4.48%,"29,346,361.00","4,771.00",100%
000200002010,2,00020000,Acton,2010,"4,102,027,500.00","1,103,337,000.00","28,671,958.00","41,477,788.45","28,671,958.00",2.82%,"29,948,633.00","4,772.00",100%
000200002011,2,00020000,Acton,2011,"4,102,027,500.00","1,224,285,000.00","28,877,160.00","40,974,152.00","28,877,160.00",3.07%,"30,270,787.00","4,818.00",100%
000200002012,2,00020000,Acton,2012,"3,988,811,200.00","1,170,226,000.00","29,689,203.00","41,691,147.67","29,689,203.00",3.13%,"30,912,451.00","4,809.00",100%
000200002013,2,00020000,Acton,2013,"3,988,811,200.00","1,085,528,000.00","30,352,220.00","43,158,626.42","30,352,220.00",2.99%,"31,614,056.00","4,781.00",100%
000200002014,2,00020000,Acton,2014,"3,858,859,800.00","1,216,704,000.00","32,514,224.00","44,173,412.32","32,514,224.00",2.99%,"32,552,552.00","4,806.00",100%
000200002015,2,00020000,Acton,2015,"3,858,859,800.00","1,245,096,000.00","32,803,838.00","44,746,241.00","32,803,838.00",3.91%,"33,314,597.00","4,801.00",100%
000200002016,2,00020000,Acton,2016,"3,865,006,000.00","1,355,941,000.00","34,961,499.00","45,203,615.00","34,961,499.00",4.04%,"34,660,507.00","4,742.00",100%
000200002017,2,00020000,Acton,2017,"3,865,006,000.00","1,315,982,000.00","34,001,035.00","45,015,298.00","34,001,035.00",4.32%,"34,324,556.00","4,691.00",100%
000200002018,2,00020000,Acton,2018,"4,306,412,900.00","1,438,171,000.00","35,776,919.00","45,937,475.01","35,776,919.00",4.53%,"35,792,300.00","4,649.00",100%
000200002019,2,00020000,Acton,2019,"4,306,412,900.00","1,443,207,000.00","36,476,566.00","47,187,756.00","36,476,566.00",4.19%,"36,476,566.00","4,623.00",100%
000200002020,2,00020000,Acton,2020,"4,597,929,200.00","1,643,014,000.00","40,503,632.00","49,163,505.50","40,503,632.00",3.70%,"38,190,965.00","4,618.00",100%
000200002021,2,00020000,Acton,2021,"4,597,929,200.00","1,569,766,000.00","39,168,665.00","49,170,930.11","39,168,665.00",3.41%,"39,168,665.00","4,479.00",100%
000200002022,2,00020000,Acton,2022,"4,940,912,200.00","1,656,423,000.00","39,951,802.00","49,645,542.97","39,951,802.00",3.29%,"39,951,802.00","4,348.00",100%
000200002023,2,00020000,Acton,2023,"4,940,912,200.00","1,733,168,000.00","44,321,078.00","52,863,061.21","43,612,026.00",3.23%,"41,641,763.00","4,311.00",98%
000200002024,2,00020000,Acton,2024,"5,255,138,400.00","1,933,454,000.00","48,213,573.00","55,210,989.20","45,549,066.00",3.26%,"43,415,702.00","4,248.19",94%
000200002025,2,00020000,Acton,2025,"5,255,138,400.00","2,210,950,000.00","52,167,408.00","56,026,427.80","46,221,803.00",3.86%,"45,091,548.00","4,179.00",89%
000200002026,2,00020000,Acton,2026,"6,835,035,500.00","2,118,076,000.00","55,417,601.00","57,932,821.53","47,794,578.00",3.98%,"46,886,192.00","4,167.00",86%
000300002007,3,00030000,Acushnet,2007,"884,206,600.00","221,522,000.00","6,603,386.00","13,501,397.81","6,603,386.00",8.12%,"6,179,689.00","1,680.00",100%
000300002008,3,00030000,Acushnet,2008,"1,213,915,400.00","235,047,000.00","7,280,837.00","13,747,386.00","7,280,837.00",5.64%,"6,590,020.00","1,608.00",100%
000300002009,3,00030000,Acushnet,2009,"1,213,915,400.00","244,057,000.00","7,568,708.00","14,528,725.83","7,568,708.00",4.75%,"6,903,046.00","1,600.00",100%
000300002010,3,00030000,Acushnet,2010,"1,336,022,300.00","257,738,000.00","7,816,445.00","14,633,438.04","7,816,445.00",-0.40%,"6,944,464.00","1,554.00",100%
000300002011,3,00030000,Acushnet,2011,"1,336,022,300.00","267,796,000.00","7,613,604.00","13,530,937.88","7,613,604.00",1.95%,"7,079,881.00","1,463.00",100%
000300002012,3,00030000,Acushnet,2012,"1,221,893,200.00","261,639,000.00","7,676,914.00","13,700,397.92","7,676,914.00",2.46%,"7,254,046.00","1,447.00",100%
000300002013,3,00030000,Acushnet,2013,"1,221,893,200.00","250,518,000.00","7,975,448.00","14,026,040.30","7,975,448.00",3.17%,"7,483,998.00","1,425.00",100%
000300002014,3,00030000,Acushnet,2014,"1,095,703,800.00","262,553,000.00","7,951,830.00","14,150,313.86","7,951,830.00",2.71%,"7,686,814.00","1,420.00",100%
000300002015,3,00030000,Acushnet,2015,"1,095,703,800.00","266,112,000.00","7,993,172.00","14,304,419.00","7,993,172.00",3.11%,"7,925,874.00","1,437.00",100%
000300002016,3,00030000,Acushnet,2016,"1,040,797,100.00","280,319,000.00","8,148,342.00","14,209,920.22","8,148,342.00",3.12%,"8,160,751.00","1,408.00",100%
000300002017,3,00030000,Acushnet,2017,"1,040,797,100.00","287,587,000.00","8,174,181.00","14,218,337.34","8,174,181.00",3.26%,"8,212,073.00","1,407.00",100%
000300002018,3,00030000,Acushnet,2018,"1,105,676,500.00","298,916,000.00","8,183,624.00","14,068,458.49","8,183,624.00",3.56%,"8,231,744.00","1,360.00",100%
000300002019,3,00030000,Acushnet,2019,"1,105,676,500.00","308,194,000.00","8,473,423.00","14,741,693.00","8,473,423.00",4.88%,"8,473,423.00","1,373.00",100%
000300002020,3,00030000,Acushnet,2020,"1,214,098,100.00","319,854,000.00","8,987,451.00","15,766,839.26","8,987,451.00",3.79%,"8,794,566.00","1,411.00",100%
000300002021,3,00030000,Acushnet,2021,"1,214,098,100.00","337,691,000.00","9,241,723.00","16,345,479.60","9,241,723.00",4.81%,"9,217,585.00","1,431.00",100%
000300002022,3,00030000,Acushnet,2022,"1,346,443,900.00","351,419,000.00","9,467,763.00","16,202,703.74","9,467,763.00",3.19%,"9,467,763.00","1,361.00",100%
000300002023,3,00030000,Acushnet,2023,"1,346,443,900.00","376,411,000.00","10,616,335.00","17,464,272.65","10,616,335.00",5.95%,"10,125,773.00","1,357.00",100%
000300002024,3,00030000,Acushnet,2024,"1,630,578,800.00","407,745,000.00","12,013,645.00","19,440,355.29","12,013,645.00",4.47%,"10,679,653.00","1,402.00",100%
000300002025,3,00030000,Acushnet,2025,"1,630,578,800.00","427,553,000.00","12,487,498.00","19,766,306.25","12,487,498.00",3.88%,"11,200,821.00","1,382.00",100%
000300002026,3,00030000,Acushnet,2026,"1,978,241,600.00","453,724,000.00","13,538,363.00","20,013,316.85","13,538,363.00",4.12%,"11,886,311.00","1,346.00",100%
000400002007,4,00040000,Adams,2007,"392,993,300.00","135,815,000.00","3,544,090.00","11,104,257.00","3,544,090.00",6.28%,"2,658,600.00","1,303.00",100%
000400002008,4,00040000,Adams,2008,"465,809,900.00","141,772,000.00","3,607,676.00","11,894,185.00","3,607,676.00",2.90%,"2,762,285.00","1,318.00",100%
000400002009,4,00040000,Adams,2009,"465,809,900.00","150,230,000.00","3,784,714.00","12,262,074.49","3,784,714.00",3.16%,"2,877,196.00","1,288.00",100%
000400002010,4,00040000,Adams,2010,"515,554,500.00","160,432,000.00","3,929,504.00","12,563,394.02","3,929,504.00",-1.16%,"3,379,194.00","1,264.00",100%
000400002011,4,00040000,Adams,2011,"515,554,500.00","166,243,000.00","3,798,625.00","12,154,911.63","3,798,625.00",0.68%,"3,402,173.00","1,235.00",100%
000400002012,4,00040000,Adams,2012,"547,148,900.00","166,644,000.00","4,162,142.00","12,211,209.00","4,162,142.00",1.81%,"3,497,774.00","1,208.00",100%
000400002013,4,00040000,Adams,2013,"547,148,900.00","154,561,000.00","4,254,673.00","12,720,901.21","4,254,673.00",2.38%,"3,615,999.00","1,214.00",100%
000400002014,4,00040000,Adams,2014,"527,879,600.00","158,044,000.00","4,318,181.00","12,499,144.00","4,318,181.00",2.63%,"3,711,100.00","1,180.00",100%
000400002015,4,00040000,Adams,2015,"527,879,600.00","161,054,000.00","4,347,341.00","12,557,002.00","4,347,341.00",2.56%,"3,843,215.00","1,174.00",100%
000400002016,4,00040000,Adams,2016,"483,765,400.00","163,740,000.00","4,286,736.00","12,746,916.00","4,286,736.00",3.06%,"3,999,249.00","1,159.00",100%
000400002017,4,00040000,Adams,2017,"483,765,400.00","169,793,000.00","4,330,399.00","13,300,477.00","4,330,399.00",3.99%,"4,158,819.00","1,170.00",100%
000400002018,4,00040000,Adams,2018,"497,127,100.00","179,034,000.00","4,315,456.00","13,179,924.66","4,315,456.00",3.50%,"4,304,378.00","1,138.00",100%
000400002019,4,00040000,Adams,2019,"497,127,100.00","183,015,000.00","4,445,610.00","13,183,824.00","4,445,610.00",3.85%,"4,445,610.00","1,104.00",100%
000400002020,4,00040000,Adams,2020,"525,826,800.00","185,441,000.00","4,595,257.00","13,698,146.77","4,595,257.00",3.69%,"4,595,257.00","1,071.00",100%
000400002021,4,00040000,Adams,2021,"525,826,800.00","191,880,000.00","4,656,528.00","13,551,965.12","4,656,528.00",3.33%,"4,656,528.00","1,043.00",100%
000400002022,4,00040000,Adams,2022,"549,332,800.00","189,808,000.00","4,522,027.00","13,699,145.79","4,522,027.00",2.94%,"4,522,027.00","1,000.00",100%
000400002023,4,00040000,Adams,2023,"549,332,800.00","191,139,000.00","4,903,931.00","14,854,624.10","4,903,931.00",2.97%,"4,656,331.00","1,000.00",100%
000400002024,4,00040000,Adams,2024,"593,584,400.00","204,832,000.00","5,238,021.00","15,939,392.67","5,238,021.00",2.96%,"4,840,721.00",995.08,100%
000400002025,4,00040000,Adams,2025,"593,584,400.00","214,031,000.00","5,381,498.00","16,696,571.41","5,381,498.00",3.26%,"4,998,529.00","1,003.00",100%
000400002026,4,00040000,Adams,2026,"787,768,000.00","217,633,000.00","5,971,331.00","17,082,630.56","5,971,331.00",3.44%,"5,220,463.00",979,100%
000500002007,5,00050000,Agawam,2007,"2,304,769,100.00","609,890,000.00","17,741,844.00","34,566,078.78","17,741,844.00",7.55%,"22,041,666.00","4,403.00",100%
000500002008,5,00050000,Agawam,2008,"2,756,586,100.00","627,363,000.00","18,010,567.00","35,551,346.00","18,010,567.00",3.44%,"21,602,566.00","4,368.00",100%
000500002009,5,00050000,Agawam,2009,"2,756,586,100.00","650,534,000.00","18,686,057.00","37,698,376.91","18,686,057.00",3.95%,"21,211,830.00","4,358.00",100%
000500002010,5,00050000,Agawam,2010,"3,123,034,200.00","691,001,000.00","19,597,260.00","38,739,894.04","19,597,260.00",1.28%,"21,200,429.00","4,327.00",100%
000500002011,5,00050000,Agawam,2011,"3,123,034,200.00","713,050,000.00","18,988,398.00","37,851,740.42","18,988,398.00",2.49%,"20,906,343.00","4,277.00",100%
000500002012,5,00050000,Agawam,2012,"2,956,191,400.00","724,031,000.00","19,905,995.00","38,691,315.74","19,905,995.00",2.93%,"21,196,318.00","4,230.00",100%
000500002013,5,00050000,Agawam,2013,"2,956,191,400.00","695,498,000.00","20,737,007.00","40,065,479.37","20,737,007.00",3.73%,"21,799,451.00","4,195.00",100%
000500002014,5,00050000,Agawam,2014,"2,851,220,900.00","716,027,000.00","21,198,823.00","39,705,689.88","21,198,823.00",3.28%,"22,317,126.00","4,087.00",100%
000500002015,5,00050000,Agawam,2015,"2,851,220,900.00","727,415,000.00","21,327,797.00","40,513,463.00","21,327,797.00",3.64%,"22,228,633.00","4,051.00",100%
000500002016,5,00050000,Agawam,2016,"2,944,629,200.00","738,256,000.00","22,234,809.00","40,806,967.85","22,234,809.00",4.47%,"22,728,531.00","4,013.00",100%
000500002017,5,00050000,Agawam,2017,"2,944,629,200.00","771,471,000.00","22,506,483.00","39,809,443.76","22,506,483.00",4.78%,"22,702,754.00","3,842.00",100%
